period,product,price,log_price,normalized_price
2023-07-01,UK Brent Crude Oil,80.11,4.383400690227026,0.8034301575615407
2023-06-01,WTI Crude Oil,70.25,4.2520603082138555,0.7531567649898414
2023-06-01,UK Brent Crude Oil,74.84,4.315352501405889,0.777383230805571
2023-05-01,UK Brent Crude Oil,75.47,4.323735226296777,0.7805919013819814
2023-05-01,WTI Crude Oil,71.58,4.2708157053378795,0.7603358018405156
2023-04-01,UK Brent Crude Oil,84.64,4.438406968109989,0.8244850087773755
2023-04-01,WTI Crude Oil,79.45,4.375127892982725,0.8002635641867241
2023-03-01,WTI Crude Oil,73.28,4.294287720365875,0.7693202269492604
2023-03-01,UK Brent Crude Oil,78.43,4.362206507224575,0.7953176222849812
2023-02-01,UK Brent Crude Oil,82.59,4.413888607822626,0.8151000722251325
2023-02-01,WTI Crude Oil,76.83,4.341595188879544,0.7874281911542258
2023-01-01,UK Brent Crude Oil,82.5,4.412798293340635,0.81468273060377
2023-01-01,WTI Crude Oil,78.12,4.358246106008478,0.7938016924389851
2022-12-01,UK Brent Crude Oil,80.92,4.393461012299545,0.8072809650070282
2022-12-01,WTI Crude Oil,76.44,4.336506119372072,0.785480238930757
2022-11-01,WTI Crude Oil,84.37,4.435211888177536,0.8232620223258356
2022-11-01,UK Brent Crude Oil,91.42,4.515464272903598,0.853980370942667
2022-10-01,UK Brent Crude Oil,93.33,4.536141599577656,0.861895068199402
2022-10-01,WTI Crude Oil,87.55,4.472210058731861,0.8374238781404908
2022-09-01,UK Brent Crude Oil,89.76,4.497139441774387,0.8469661426067348
2022-09-01,WTI Crude Oil,84.26,4.433907256550871,0.8227626461482772
2022-08-01,WTI Crude Oil,93.67,4.539777967221039,0.8632869671361091
2022-08-01,UK Brent Crude Oil,100.45,4.609660091260944,0.8900358725508201
2022-07-01,WTI Crude Oil,101.62,4.621240366165586,0.8944684750562012
2022-07-01,UK Brent Crude Oil,111.93,4.717873675901176,0.9314569795920931
2022-06-01,WTI Crude Oil,114.84,4.743539855252863,0.9412812688973704
2022-06-01,UK Brent Crude Oil,122.71,4.809823847988456,0.9666529111671635
2022-05-01,WTI Crude Oil,109.55,4.696381066041475,0.9232302149344513
2022-05-01,UK Brent Crude Oil,113.34,4.730392150741473,0.9362486985622883
2022-04-01,WTI Crude Oil,101.78,4.622813621160686,0.8950706726802049
2022-04-01,UK Brent Crude Oil,104.58,4.649952328759984,0.9054586042524707
2022-03-01,WTI Crude Oil,108.5,4.686750172980514,0.9195437807985952
2022-03-01,UK Brent Crude Oil,117.25,4.764308407326388,0.9492308846631705
2022-02-01,UK Brent Crude Oil,97.13,4.5760502874142395,0.8771709879118084
